Player,Mocks,ESPNBB,Athleticism,Production,DraftScore,PFFGrade,PFFBB,Age,Height,Weight,Attempts,Rec,Ypa
Ashton Jeanty,7,5,83,98,95,94.9,5,21.3,69,215,313,18,7.3
Bhayshul Tuten,124,158,81,72,79,77.4,202,22.1,71,209,277,23,6.3
Brashard Smith,151,153,75,74,74,90.3,136,22,70,196,209,34,5.8
Cameron Skattebo,83,62,73,93,88,93.3,51,23.1,71,215,248,35,5.6
Corey Kiner,293,261,62,58,61,84.9,223,23.2,69,210,204,15,5.6
D.J. Giddens,102,86,81,77,77,75.7,96,21.6,73,212,206,20,6.5
Damien Martinez,115,118,69,75,75,91.2,80,21.2,72,232,145,16,5.7
Devin Neal,126,86,64,78,73,87.9,106,21.6,71,215,218,26,5.8
Donovan Edwards,234,243,92,54,67,73.2,311,22.1,73,212,127,19,4.7
Dylan Sampson,89,71,76,78,80,90.5,55,20.5,71,201,258,20,5.8
Ja'Quinden Jackson,272,238,51,62,59,80.5,254,23.5,74,233,149,13,5.4
Jarquez Hunter,189,214,67,72,70,81.5,133,22.3,70,209,186,21,6.5
Jaydon Blue,145,173,75,71,71,73.1,109,21.2,72,200,125,33,5.6
Jo'Quavious Marks,209,166,72,61,67,83,229,24.3,70,208,198,47,5.7
Jordan James,170,95,67,70,72,86.2,247,21,70,210,206,21,5.7
Kaleb Johnson,61,61,64,77,76,86.5,58,21.6,72,225,240,22,6.4
Kalel Mullings,197,179,74,56,65,87.3,162,22.5,74,233,185,6,5.1
Kyle Monangai,182,197,66,63,66,77.3,188,22.8,69,209,256,14,5
LeQuint Allen Jr.,241,136,66,60,66,81.5,245,20.7,72,201,211,61,4.3
Marcus Yarns,242,188,69,70,72,84.9,195,23.4,71,183,133,17,6.3
Ollie Gordon II,129,210,64,71,73,75.8,239,21.2,74,225,189,30,4.5
Omarion Hampton,22,13,82,84,85,90.5,25,22,73,220,281,38,5.9
Quinshon Judkins,54,51,92,74,83,88.3,66,21.4,72,219,156,17,5.4
R.J. Harvey Jr.,114,96,75,86,79,85.1,72,24.1,69,208,231,20,6.8
Raheim Sanders,177,190,67,73,71,81.2,219,22.8,72,230,183,27,4.8
Tahj Brooks,220,201,82,72,75,83.3,217,22.9,70,230,287,28,5.3
TreVeyon Henderson,42,31,92,83,86,88.4,59,22.4,70,208,119,22,6.9
Trevor Etienne,160,143,74,62,68,82.5,114,20.7,69,205,95,23,5
Audric Estime,123,157,57,83,75,94.2,116,20.6,71,227,209,17,6.4
Blake Corum,75,67,81,71,78,84,75,23.3,68,213,258,16,4.8
Braelon Allen,102,142,73,69,74,74.9,134,20.2,74,245,181,28,5.4
Bucky Irving,119,152,68,78,77,88.2,84,21.6,70,195,186,55,6.4
Dylan Laube,171,207,83,68,76,81.6,166,24.3,70,208,161,68,4.6
Isaac Guerendo,157,146,99,69,78,89.1,139,23.8,73,225,132,22,6.1
Isaiah Davis,199,172,69,82,78,94.9,227,22.1,73,220,236,23,6.7
Jase McClellan,236,279,75,71,72,79.8,210,21.8,71,212,181,14,4.9
Jawhar Jordan,283,221,72,72,69,87.9,306,24.6,70,185,181,21,6.2
Jaylen Wright,86,97,99,71,82,91,71,21,71,210,136,22,7.4
Jonathan Brooks,62,42,77,81,81,91.5,56,20.7,72,207,187,25,6.1
Kimani Vidal,186,202,86,68,75,92.4,184,22.6,68,218,295,18,5.6
MarShawn Lloyd,99,71,82,74,78,80.8,105,23.2,69,210,115,13,7.1
Rasheen Ali,205,188,86,64,72,75.2,244,23.1,72,209,210,27,5.4
Ray Davis,130,129,67,71,73,87.5,102,24.4,70,216,197,32,5.7
Trey Benson,70,58,81,75,80,84.2,86,21.7,73,223,156,20,5.8
Tyrone Tracy Jr.,153,183,94,67,76,87.5,113,24.4,73,210,114,19,6.3
